location,new_deaths,total_vaccinations
Pakistan,56,0
Pakistan,57,27228
Pakistan,52,52768
Pakistan,16,72882
Pakistan,29,350000
Pakistan,96,800000
Pakistan,102,936383
Pakistan,105,1114000
Pakistan,135,1300000
Pakistan,150,2100000
Pakistan,0,2967870
Pakistan,119,3150122
Pakistan,248,3320304
Pakistan,104,3705244
Pakistan,48,3836291
Pakistan,102,4747033
Pakistan,88,4956853
Pakistan,92,5358808
Pakistan,67,6130509
Pakistan,80,7337187
Pakistan,92,7648481
Pakistan,83,7953574
Pakistan,76,8263763
Pakistan,76,9559910
Pakistan,56,10496228
Pakistan,34,10696402
Pakistan,46,11085787
Pakistan,46,11745889
Pakistan,39,12065211
Pakistan,27,12483801
Pakistan,0,12750760
Pakistan,27,12977740
Pakistan,35,13484364
Pakistan,24,16356499
Pakistan,29,16714717
Pakistan,19,17390346
Pakistan,24,18228235
Pakistan,27,19067352
Pakistan,15,19883900
Pakistan,24,20540263
Pakistan,47,21076550
Pakistan,31,21660650
Pakistan,40,22222701
Pakistan,21,22735993
Pakistan,40,24096587
Pakistan,39,25248858
Pakistan,76,26248235
Pakistan,86,27875999
Pakistan,65,28743225
Pakistan,62,29648055
Pakistan,40,30590183
Pakistan,46,33059676
Pakistan,60,34204053
Pakistan,67,35306892
Pakistan,95,36331025
Pakistan,68,37424706
Pakistan,86,38722292
Pakistan,81,39712007
Pakistan,102,40664110
Pakistan,79,41467713
Pakistan,73,42173424
Pakistan,72,42688545
Pakistan,66,44322217
Pakistan,74,44736977
Pakistan,65,45540221
Pakistan,75,46456077
Pakistan,126,47802106
Pakistan,95,50985184
Pakistan,66,53314628
Pakistan,101,56768446
Pakistan,89,58156714
Pakistan,57,59384758
Pakistan,57,61724580
Pakistan,98,63319214
Pakistan,83,64554859
Pakistan,84,65505999
Pakistan,83,66456245
Pakistan,82,67342288
Pakistan,67,68227337
Pakistan,73,70402987
Pakistan,68,71311567
Pakistan,63,72986511
Pakistan,40,73831778
Pakistan,81,74837117
Pakistan,58,76141484
Pakistan,41,79533208
Pakistan,52,80508569
Pakistan,56,82830350
Pakistan,54,86630655
Pakistan,39,87741079
Pakistan,26,89719686
Pakistan,18,92597193
Pakistan,21,93551193
Pakistan,16,98607708
Pakistan,16,99335067
Pakistan,18,100741762
Pakistan,13,102067945
Pakistan,17,103514198
Pakistan,10,105881931
Pakistan,11,106984156
Pakistan,11,109586984
Pakistan,11,110800576
Pakistan,9,111967455
